,exp_name,env_name,seed,metric,env_step,value
0,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_return,0.0,6.050814756383941
1,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_return,100000.0,155.8295464577513
2,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_return,200000.0,327.70986657119704
3,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_return,300000.0,399.68176909256147
4,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_return,400000.0,402.90055038515845
5,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_return,500000.0,328.93071377757724
6,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_return,600000.0,411.0161146327343
7,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_return,700000.0,409.6034495615102
8,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_return,800000.0,379.64808366526165
9,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_return,900000.0,420.40891705867455
10,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_return,1000000.0,390.5325498818609
11,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_success,0.0,0.0
12,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_success,100000.0,0.0
13,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_success,200000.0,0.0
14,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_success,300000.0,0.0
15,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_success,400000.0,0.0
16,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_success,500000.0,0.0
17,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_success,600000.0,0.0
18,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_success,700000.0,0.0
19,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_success,800000.0,0.0
20,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_success,900000.0,0.0
21,m_alpha_scale_1,h1-sit_hard-v0,3000,avg_success,1000000.0,0.0
22,m_alpha_scale_1,h1-maze-v0,3000,avg_return,0.0,109.54993775657087
23,m_alpha_scale_1,h1-maze-v0,3000,avg_return,100000.0,126.73928445324438
24,m_alpha_scale_1,h1-maze-v0,3000,avg_return,200000.0,367.6596533971891
25,m_alpha_scale_1,h1-maze-v0,3000,avg_return,300000.0,313.80762820731275
26,m_alpha_scale_1,h1-maze-v0,3000,avg_return,400000.0,345.89509536528664
27,m_alpha_scale_1,h1-maze-v0,3000,avg_return,500000.0,347.30998995925603
28,m_alpha_scale_1,h1-maze-v0,3000,avg_return,600000.0,316.6626542703977
29,m_alpha_scale_1,h1-maze-v0,3000,avg_return,700000.0,346.66009075639016
30,m_alpha_scale_1,h1-maze-v0,3000,avg_return,800000.0,316.0680479263004
31,m_alpha_scale_1,h1-maze-v0,3000,avg_return,900000.0,341.5743629941295
32,m_alpha_scale_1,h1-maze-v0,3000,avg_return,1000000.0,340.18857668413517
33,m_alpha_scale_1,h1-maze-v0,3000,avg_success,0.0,0.0
34,m_alpha_scale_1,h1-maze-v0,3000,avg_success,100000.0,0.0
35,m_alpha_scale_1,h1-maze-v0,3000,avg_success,200000.0,0.0
36,m_alpha_scale_1,h1-maze-v0,3000,avg_success,300000.0,0.0
37,m_alpha_scale_1,h1-maze-v0,3000,avg_success,400000.0,0.0
38,m_alpha_scale_1,h1-maze-v0,3000,avg_success,500000.0,0.0
39,m_alpha_scale_1,h1-maze-v0,3000,avg_success,600000.0,0.0
40,m_alpha_scale_1,h1-maze-v0,3000,avg_success,700000.0,0.0
41,m_alpha_scale_1,h1-maze-v0,3000,avg_success,800000.0,0.0
42,m_alpha_scale_1,h1-maze-v0,3000,avg_success,900000.0,0.0
43,m_alpha_scale_1,h1-maze-v0,3000,avg_success,1000000.0,0.0
44,m_alpha_scale_1,h1-crawl-v0,3000,avg_return,0.0,96.91060703136692
45,m_alpha_scale_1,h1-crawl-v0,3000,avg_return,100000.0,315.6587190610491
46,m_alpha_scale_1,h1-crawl-v0,3000,avg_return,200000.0,600.4853767118126
47,m_alpha_scale_1,h1-crawl-v0,3000,avg_return,300000.0,697.1469701812513
48,m_alpha_scale_1,h1-crawl-v0,3000,avg_return,400000.0,840.6152909970863
49,m_alpha_scale_1,h1-crawl-v0,3000,avg_return,500000.0,919.4298151533269
50,m_alpha_scale_1,h1-crawl-v0,3000,avg_return,600000.0,961.3148554111382
51,m_alpha_scale_1,h1-crawl-v0,3000,avg_return,700000.0,964.4171866284784
52,m_alpha_scale_1,h1-crawl-v0,3000,avg_return,800000.0,968.7317892449521
53,m_alpha_scale_1,h1-crawl-v0,3000,avg_return,900000.0,969.5743936360468
54,m_alpha_scale_1,h1-crawl-v0,3000,avg_return,1000000.0,970.7445437705665
55,m_alpha_scale_1,h1-crawl-v0,3000,avg_success,0.0,0.0
56,m_alpha_scale_1,h1-crawl-v0,3000,avg_success,100000.0,0.0
57,m_alpha_scale_1,h1-crawl-v0,3000,avg_success,200000.0,0.0
58,m_alpha_scale_1,h1-crawl-v0,3000,avg_success,300000.0,0.0
59,m_alpha_scale_1,h1-crawl-v0,3000,avg_success,400000.0,0.0
60,m_alpha_scale_1,h1-crawl-v0,3000,avg_success,500000.0,0.0
61,m_alpha_scale_1,h1-crawl-v0,3000,avg_success,600000.0,0.0
62,m_alpha_scale_1,h1-crawl-v0,3000,avg_success,700000.0,0.0
63,m_alpha_scale_1,h1-crawl-v0,3000,avg_success,800000.0,0.0
64,m_alpha_scale_1,h1-crawl-v0,3000,avg_success,900000.0,0.0
65,m_alpha_scale_1,h1-crawl-v0,3000,avg_success,1000000.0,0.0
66,m_alpha_scale_1,h1-hurdle-v0,3000,avg_return,0.0,4.555121695783456
67,m_alpha_scale_1,h1-hurdle-v0,3000,avg_return,100000.0,10.813556042823933
68,m_alpha_scale_1,h1-hurdle-v0,3000,avg_return,200000.0,65.88121396900122
69,m_alpha_scale_1,h1-hurdle-v0,3000,avg_return,300000.0,138.23129086324553
70,m_alpha_scale_1,h1-hurdle-v0,3000,avg_return,400000.0,96.92725160026671
71,m_alpha_scale_1,h1-hurdle-v0,3000,avg_return,500000.0,132.96944360982178
72,m_alpha_scale_1,h1-hurdle-v0,3000,avg_return,600000.0,149.59477551548875
73,m_alpha_scale_1,h1-hurdle-v0,3000,avg_return,700000.0,160.6625586513705
74,m_alpha_scale_1,h1-hurdle-v0,3000,avg_return,800000.0,205.12938941969537
75,m_alpha_scale_1,h1-hurdle-v0,3000,avg_return,900000.0,223.62317088786676
76,m_alpha_scale_1,h1-hurdle-v0,3000,avg_return,1000000.0,212.28333946936482
77,m_alpha_scale_1,h1-hurdle-v0,3000,avg_success,0.0,0.0
78,m_alpha_scale_1,h1-hurdle-v0,3000,avg_success,100000.0,0.0
79,m_alpha_scale_1,h1-hurdle-v0,3000,avg_success,200000.0,0.0
80,m_alpha_scale_1,h1-hurdle-v0,3000,avg_success,300000.0,0.0
81,m_alpha_scale_1,h1-hurdle-v0,3000,avg_success,400000.0,0.0
82,m_alpha_scale_1,h1-hurdle-v0,3000,avg_success,500000.0,0.0
83,m_alpha_scale_1,h1-hurdle-v0,3000,avg_success,600000.0,0.0
84,m_alpha_scale_1,h1-hurdle-v0,3000,avg_success,700000.0,0.0
85,m_alpha_scale_1,h1-hurdle-v0,3000,avg_success,800000.0,0.0
86,m_alpha_scale_1,h1-hurdle-v0,3000,avg_success,900000.0,0.0
87,m_alpha_scale_1,h1-hurdle-v0,3000,avg_success,1000000.0,0.0
88,m_alpha_scale_1,h1-reach-v0,3000,avg_return,0.0,593.3622181495823
89,m_alpha_scale_1,h1-reach-v0,3000,avg_return,100000.0,1075.589908337203
90,m_alpha_scale_1,h1-reach-v0,3000,avg_return,200000.0,879.7995872697309
91,m_alpha_scale_1,h1-reach-v0,3000,avg_return,300000.0,2150.43810607309
92,m_alpha_scale_1,h1-reach-v0,3000,avg_return,400000.0,3981.458417156825
93,m_alpha_scale_1,h1-reach-v0,3000,avg_return,500000.0,6232.062516038823
94,m_alpha_scale_1,h1-reach-v0,3000,avg_return,600000.0,3518.142771342421
95,m_alpha_scale_1,h1-reach-v0,3000,avg_return,700000.0,4125.126531809603
96,m_alpha_scale_1,h1-reach-v0,3000,avg_return,800000.0,1353.3065346606522
97,m_alpha_scale_1,h1-reach-v0,3000,avg_return,900000.0,5216.335675978073
98,m_alpha_scale_1,h1-reach-v0,3000,avg_return,1000000.0,4854.585989568442
99,m_alpha_scale_1,h1-reach-v0,3000,avg_success,0.0,0.0
100,m_alpha_scale_1,h1-reach-v0,3000,avg_success,100000.0,0.0
101,m_alpha_scale_1,h1-reach-v0,3000,avg_success,200000.0,0.0
102,m_alpha_scale_1,h1-reach-v0,3000,avg_success,300000.0,0.0
103,m_alpha_scale_1,h1-reach-v0,3000,avg_success,400000.0,0.0
104,m_alpha_scale_1,h1-reach-v0,3000,avg_success,500000.0,0.0
105,m_alpha_scale_1,h1-reach-v0,3000,avg_success,600000.0,0.0
106,m_alpha_scale_1,h1-reach-v0,3000,avg_success,700000.0,0.0
107,m_alpha_scale_1,h1-reach-v0,3000,avg_success,800000.0,0.0
108,m_alpha_scale_1,h1-reach-v0,3000,avg_success,900000.0,0.0
109,m_alpha_scale_1,h1-reach-v0,3000,avg_success,1000000.0,0.0
